serial_number,date,tyre_code,description,qty
032025-05074,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05075,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05076,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05077,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05078,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05079,3/19/2025,141002,7.00 - 15 (5.50) ACHIEVER BLACK CLIP,0
032025-05080,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05081,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05082,3/19/2025,104011,18 x 7 - 8 (4.33) ACHIEVER PLUS BLACK STD,0
032025-05083,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05084,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05085,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05086,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05087,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05088,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05089,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05090,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05091,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05092,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05093,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05094,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05095,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05096,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05097,3/19/2025,104043,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05098,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05099,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05100,3/19/2025,135041,28 x 9 -15 (7.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05101,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05102,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05103,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05104,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05105,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05106,3/19/2025,101044,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID NM CLIP,0
032025-05107,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05108,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05109,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
