"id","prev_serial","serial_number","date","tyre_code","description","qty"
"1065","32505115","032025-05115","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1066","32505116","032025-05116","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1067","32505117","032025-05117","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1068","32505118","032025-05118","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1069","32505119","032025-05119","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1070","32505120","032025-05120","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1071","32505121","032025-05121","2025-03-19","133042","250 -15 (7.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1072","32505122","032025-05122","2025-03-19","126041","23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD","0"
"1073","32505123","032025-05123","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1074","32505124","032025-05124","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1075","32505125","032025-05125","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1076","32505126","032025-05126","2025-03-19","112162","21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) BLACK CLIP","0"
"1077","32505127","032025-05127","2025-03-19","118012","200/50 - 10 (6.50) ACHIEVER PLUS BLACK CLIP","0"
"1078","32505128","032025-05128","2025-03-19","118012","200/50 - 10 (6.50) ACHIEVER PLUS BLACK CLIP","0"
"1079","32505129","032025-05129","2025-03-19","155051","12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD","0"
"1080","32505130","032025-05130","2025-03-19","138161","8.25 - 15 (6.50) ACHIEVER PLUS (WIDE) BLACK STD","0"
"1081","32505131","032025-05131","2025-03-19","139162","300-15 (8.00) ACHIEVER PLUS (WIDE) BLACK CLIP","0"
"1082","32505132","032025-05132","2025-03-19","140051","355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD","0"
"1083","32505133","032025-05133","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1084","32505134","032025-05134","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1085","32505135","032025-05135","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1086","32505136","032025-05136","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
